group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
esqtoolmaskver-10.34,pypi,,esqtoolmaskver,10.34,esqtoolmaskver-10.34,1,0.00414753,"['subprocess.Popen', 'open(']",command_execution,malicious
minead-3.42,pypi,,minead,3.42,minead-3.42,1,0.004108429,"['subprocess.Popen', 'open(']",command_execution,malicious
table-transformer_1.0.3_py3-none-any-whl,pypi,,table-transformer,1.0.3,py3-none-any-whl,19,87.28320313,,,benign
selfpaypalmine-8.94,pypi,,selfpaypalmine,8.94,selfpaypalmine-8.94,1,0.004159927,"['subprocess.Popen', 'open(']",command_execution,malicious
pi-brightness_1.0.2_tar-gz,pypi,,pi-brightness,1.0.2,tar-gz,11,5.326171875,,,benign
litellm_1.9.4_tar-gz,pypi,,litellm,1.9.4,tar-gz,153,4272.904297,,,benign
strefi_0.1.0_tar-gz,pypi,,strefi,0.1.0,tar-gz,27,69.46484375,,,benign
14Cent-999.0.1,pypi,,14Cent,999.0.1,14Cent-999.0.1,1,0.001322746,"['setuptools.command.install', 'install.run', 'socket.gethostname', 'getpass.getuser', 'open(', 'requests.post', 'requests.post', 'requests.post', 'requests.post', 'requests.post', 'open(', 'requests.post', 'open(', 'requests.post', 'open(', 'requests.post']",persistence,malicious
ldsso_0.0.5_tar-gz,pypi,,ldsso,0.0.5,tar-gz,11,9.849609375,,,benign
maskpyw-8.9,pypi,,maskpyw,8.9,maskpyw-8.9,1,0.004096031,"['subprocess.Popen', 'open(']",command_execution,malicious
ipy_1.01_tar-gz,pypi,,ipy,1.01,tar-gz,14,137.1806641,,,benign
flet-runtime_0.15.0.dev1893_py3-none-any-whl,pypi,,flet-runtime,0.15.0.dev1893,py3-none-any-whl,22,77.1796875,,,benign
pygraphql32-1.2.0,pypi,,pygraphql32,1.2.0,pygraphql32-1.2.0,1,0.002120018,"['open(', 'write(', 'requests.get', 'exec(', 'open(', 'read(', 'requests.post', 'requests.get', 'setuptools.command.install', 'install.run']",file_operations,malicious
