package_name,version,true_label,predicted_label,malicious_probability,benign_probability,correctly_classified,risk_level
bip-utilz,1.0.0,1,1,1.0,2.8839418e-08,True,High
djanga,0.2,1,1,1.0,1.3227796e-08,True,High
selfbot-api22,1,1,1,1.0,3.1385895e-20,True,High
colopym2,0.0.1,1,1,1.0,6.53941e-40,True,High
jupitercalc,0.0.5,1,1,1.0,2.3352902e-09,True,High
py-cojrd,1.0.0,1,1,1.0,3.2181596e-08,True,High
go-requests,2.0.2,1,1,1.0,2.9239073e-13,True,High
py-cotd,1.0.0,1,1,1.0,3.2181596e-08,True,High
testingvvv3xx,2.31.10,1,1,1.0,1.9861921e-13,True,High
builderknower2,0.1.18,1,1,1.0,8.8521746e-13,True,High
pinkhippodirty,99,1,1,1.0,1.234622e-17,True,High
rensoflow,1.0.0,1,1,1.0,2.8840024e-08,True,High
sanic-prometheus-qubit,9000.0.0,1,1,1.0,1.0247827e-08,True,High
opencvv,any,1,1,1.0,3.051232e-11,True,High
artifact-lab-3-package-4c04b1a2,1.0.5,1,1,1.0,2.737287e-08,True,High
py-coad,1.0.0,1,1,1.0,3.2181596e-08,True,High
dependency-conf,1.0.0,1,1,1.0,7.603404e-09,True,High
bip-uils,1.0.0,1,1,1.0,2.8839418e-08,True,High
playwrigght,1.0.0,1,1,1.0,2.8840024e-08,True,High
pytbrch,1.0.0,1,1,1.0,2.8840024e-08,True,High
pythonstyles,3.1,1,1,1.0,7.1220484e-16,True,High
pypackagehelp,1.0.0,1,1,1.0,1.469706e-39,True,High
ef334343rf3feefefefefeffeefeffe,1,1,1,1.0,0.0,True,High
bytedtrace,0.2.4,1,1,1.0,5.272021e-09,True,High
pywool,1.0.1,1,1,1.0,4.4988207e-14,True,High
paquete-1,1.0.0,1,1,1.0,2.5321982e-09,True,High
web3.p7,1.0.0,1,1,1.0,2.9600628e-08,True,High
pytoileur,1.0.2,1,1,1.0,1.3242274e-10,True,High
value2,2.1.4,1,1,1.0,1.2056625e-18,True,High
noblesse,0.0.3,1,1,1.0,4.656465e-17,True,High
xoloaghvurilnh,0.0.0,1,1,1.0,2.1589386e-12,True,High
jango-metamask-auth,4.5.2,1,1,1.0,3.431875e-11,True,High
pycolorz,0.0.8,1,1,1.0,1.5382922e-09,True,High
customtiknter,1.0.0,1,1,1.0,2.8840024e-08,True,High
randomized,0.0.3,1,1,1.0,7.294129e-12,True,High
matplotlib-sqlalchemy,16.18.4,1,1,1.0,6.0103837e-13,True,High
typesutil,2.0.0,1,1,1.0,8.605923e-11,True,High
discmusic,0.0.2,1,1,1.0,5.851514e-08,True,High
openaes,1.0.0,1,1,1.0,2.8840024e-08,True,High
xsetuptools,50.3.1,1,1,1.0,1.4564605e-11,True,High
rbxtools,0.0.1,1,1,1.0,1.5709999e-10,True,High
xcryptography,3.3,1,1,1.0,5.214589e-12,True,High
pyurllib,1.0.0,1,1,1.0,3.6524484e-17,True,High
aiohttp_socks4,0.8.26,1,1,1.0,2.2590405e-10,True,High
py-cordd,1.0.0,1,1,1.0,3.2181596e-08,True,High
py-corf,1.0.0,1,1,1.0,3.2181596e-08,True,High
py-corrd,1.0.0,1,1,1.0,3.2181596e-08,True,High
jupyter_calendar_extension,0.1,1,1,1.0,1.0633379e-11,True,High
Matplotllib,1.0.0,1,1,1.0,2.8840024e-08,True,High
beaurifulsoup,1.0.0,1,1,1.0,2.8840024e-08,True,High
discmusic,0.0.1,1,1,1.0,5.851514e-08,True,High
httpx-advanced3,0.1.0,1,1,1.0,9.4431116e-14,True,High
fakessh,0.7.5,1,1,1.0,3.5090725e-08,True,High
colorsgradient,15,1,1,1.0,5.3109534e-11,True,High
bytedtrace,0.1.5,1,1,1.0,0.0,True,High
trc20-unlocker,1,1,1,1.0,3e-45,True,High
color-utility,0.2.9,1,1,1.0,6.998948e-13,True,High
py-c0dd,1.0.0,1,1,1.0,3.2181596e-08,True,High
httiop,0.0.1,1,1,1.0,3.436439e-08,True,High
dpp_client,1.0.4,1,1,1.0,2.1344162e-09,True,High
methantiafk,0.0.5,1,1,1.0,3.44e-42,True,High
aiohttp_sock,0.1.70,1,1,1.0,3.4975642e-09,True,High
aiohttp_socks5,0.8.5,1,1,1.0,1.9304345e-08,True,High
3m-promo-gen-api,1,1,1,1.0,6.825378e-28,True,High
aiohttp_sock,0.1.39,1,1,1.0,2.409442e-10,True,High
